Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
100,Dylan Cozens,21,BUF,C,2,0,1,1,0,2,0.0,0,0,0,0,1,0,0,6,0.0,33,16:24,1,2,14,15,48.3,cozendy01
101,Sidney Crosby,35,PIT,C,3,2,4,6,1,2,0.5,2,0,0,0,1,3,0,10,20.0,57,18:52,0,3,22,22,50.0,crosbsi01
102,Lawson Crouse,25,ARI,LW,3,1,0,1,-2,0,0.1,1,0,0,0,0,0,0,6,16.7,45,15:04,1,6,0,0,,crousla01
103,Kirby Dach,22,MTL,C,4,1,1,2,0,2,0.2,0,1,0,1,1,0,0,7,14.3,62,15:33,1,2,5,13,27.8,dachki01
104,Evgenii Dadonov,33,MTL,RW,4,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,5,0.0,53,13:19,0,1,1,1,50.0,dadonev01
105,Rasmus Dahlin,22,BUF,D,2,2,1,3,3,2,0.6,2,0,0,1,1,0,0,8,25.0,50,25:03,3,2,0,0,,dahlira01
106,Phillip Danault,29,LAK,C,4,2,0,2,-2,2,0.1,2,0,0,1,0,0,0,8,25.0,80,19:56,5,6,39,28,58.2,danauph01
107,Justin Danforth,29,CBJ,RW,3,0,1,1,-4,4,-0.1,0,0,0,0,1,0,0,6,0.0,50,16:43,1,5,3,7,30.0,danfoju01
108,Calvin de Haan,31,CAR,D,2,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,2,0.0,25,12:34,0,3,0,0,,dehaaca01
109,Anthony DeAngelo,27,PHI,D,2,1,2,3,4,2,0.6,0,1,0,0,1,1,0,4,25.0,51,25:29,6,0,0,0,,deangan01
110,Alex DeBrincat,25,OTT,RW,2,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,9,0.0,36,18:08,0,5,0,0,,debrial01
111,Jake DeBrusk,26,BOS,LW,2,2,1,3,4,0,0.5,2,0,0,0,1,0,0,8,25.0,29,14:44,1,3,1,0,100.0,debruja01
112,Ty Dellandrea,22,DAL,C,3,0,1,1,2,2,0.1,0,0,0,0,1,0,0,4,0.0,45,14:54,2,4,1,1,50.0,dellaty01
113,Dylan DeMelo,29,WPG,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,39,19:35,1,2,0,0,,demeldy01
114,Nicolas Deslauriers,31,PHI,LW,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,17,8:23,1,8,0,0,,deslani01
115,Connor Dewar,23,MIN,C,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,23,7:31,0,3,4,8,33.3,dewarco01
116,Jason Dickinson,27,CHI,C,1,1,2,3,1,0,0.3,1,0,0,0,0,0,2,2,50.0,12,12:07,1,2,2,3,40.0,dickija01
117,Brenden Dillon,32,WPG,D,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,0.0,40,20:15,5,4,0,0,,dillobr01
118,Noah Dobson,23,NYI,D,2,2,0,2,-1,0,0.3,1,1,0,1,0,0,0,8,25.0,43,21:33,1,1,0,0,,dobsono01
119,Max Domi,27,CHI,LW,3,1,0,1,0,0,0.1,0,1,0,0,0,0,0,5,20.0,54,17:51,1,2,28,20,58.3,domima01
120,Ryan Donato,26,SEA,C,3,0,1,1,1,8,0.1,0,0,0,0,0,1,0,5,0.0,34,11:30,1,4,1,3,25.0,donatry01
121,Drew Doughty,33,LAK,D,4,1,1,2,0,6,0.2,0,1,0,0,1,0,0,10,10.0,108,27:07,5,7,0,0,,doughdr01
122,Nic Dowd,32,WSH,C,4,1,1,2,-1,4,0.1,1,0,0,0,1,0,0,4,25.0,49,12:19,3,19,23,32,41.8,dowdni01
123,Leon Draisaitl,27,EDM,C,2,1,4,5,1,2,0.5,0,1,0,0,1,2,1,4,25.0,47,23:24,2,1,24,23,51.1,draisle01
124,Jonathan Drouin,27,MTL,LW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,28,14:11,0,1,0,1,0.0,drouijo01
125,Jamie Drysdale,20,ANA,D,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,55,18:26,2,2,0,0,,drysdja01
126,Dillon Dube,24,CGY,C,2,1,1,2,1,4,0.3,0,0,1,0,1,0,0,5,20.0,30,15:04,1,2,3,3,50.0,dubedi01
127,Pierre-Luc Dubois,24,WPG,LW,2,0,1,1,-2,2,0.0,0,0,0,0,0,1,0,4,0.0,34,16:54,2,3,8,13,38.1,duboipi01
128,Matt Duchene,32,NSH,C,4,1,1,2,-2,12,0.1,1,0,0,0,1,0,0,10,10.0,72,17:57,4,0,4,6,40.0,duchema01
129,Brandon Duhaime,25,MIN,RW,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,1,0.0,20,6:40,1,7,0,0,,duhaibr01
130,Mathew Dumba,28,MIN,D,3,0,2,2,-3,0,0.0,0,0,0,0,2,0,0,7,0.0,60,19:59,3,5,0,0,,dumbama01
131,Brian Dumoulin,31,PIT,D,3,0,1,1,3,0,0.2,0,0,0,0,1,0,0,3,0.0,59,19:40,8,4,0,0,,dumoubr01
132,Vince Dunn,26,SEA,D,4,0,2,2,-3,4,0.1,0,0,0,0,0,2,0,6,0.0,90,22:29,1,2,0,0,,dunnvi02
133,Sean Durzi,24,LAK,D,3,0,2,2,-1,2,0.1,0,0,0,0,2,0,0,4,0.0,67,22:23,5,4,0,0,,durzise01
134,Christian Dvorak,26,MTL,C,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,67,16:52,3,1,26,20,56.5,dvorach01
135,Jordan Eberle,32,SEA,RW,4,0,2,2,-3,4,0.0,0,0,0,0,0,2,0,5,0.0,56,13:55,0,4,1,0,100.0,eberljo01
136,Alexander Edler,36,LAK,D,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,2,0.0,40,13:15,3,5,0,0,,edleral01
137,Nikolaj Ehlers,26,WPG,LW,2,0,3,3,0,0,0.2,0,0,0,0,2,1,0,7,0.0,38,19:00,1,2,0,0,,ehlerni01
138,Jack Eichel,26,VEG,C,3,1,2,3,2,0,0.3,1,0,0,0,1,1,0,11,9.1,49,16:18,3,2,19,22,46.3,eicheja01
139,Aaron Ekblad,26,FLA,D,3,1,0,1,1,4,0.3,0,1,0,0,0,0,0,7,14.3,65,21:42,1,4,0,0,,ekblaaa01
140,Mattias Ekholm,32,NSH,D,4,0,1,1,0,0,0.2,0,0,0,0,1,0,0,4,0.0,84,21:04,5,2,0,0,,ekholma01
141,Oliver Ekman-Larsson,31,VAN,D,3,0,1,1,-3,0,-0.1,0,0,0,0,1,0,0,6,0.0,65,21:40,4,6,0,0,,ekmanol01
142,Lars Eller,33,WSH,C,4,1,1,2,1,0,0.2,1,0,0,0,1,0,0,8,12.5,53,13:18,1,7,21,28,42.9,ellerla01
143,Pierre Engvall,26,TOR,LW,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,7,0.0,50,12:33,0,6,1,0,100.0,engvapi01
144,Mackenzie Entwistle,23,CHI,RW,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,0.0,43,14:10,2,6,4,3,57.1,entwima01
145,Joel Eriksson Ek,26,MIN,C,3,2,1,3,-3,6,0.2,0,2,0,0,1,0,0,15,13.3,61,20:14,1,2,32,35,47.8,eriksjo02
146,Adam Erne,27,DET,LW,3,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,3,33.3,35,11:38,3,9,0,1,0.0,ernead01
147,Jake Evans,26,MTL,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,49,12:14,3,0,24,19,55.8,evansja02
148,Dante Fabbro,24,NSH,D,4,0,1,1,2,2,0.3,0,0,0,0,1,0,0,6,0.0,62,15:28,6,6,0,0,,fabbrda01
149,Radek Faksa,29,DAL,C,3,0,0,0,2,2,0.0,0,0,0,0,0,0,0,2,0.0,40,13:27,2,1,14,16,46.7,faksara01
150,Joel Farabee,22,PHI,LW,2,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,42,20:52,2,1,0,0,,farabjo01
151,Jesper Fast,31,CAR,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,47,15:33,4,7,0,0,,fastje01
152,Justin Faulk,30,STL,D,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,3,0.0,22,22:26,2,3,0,0,,faulkju01
153,Martin Fehervary,23,WSH,D,4,0,1,1,1,2,0.2,0,0,0,0,1,0,0,2,0.0,79,19:39,7,18,0,0,,feherma01
154,Mario Ferraro,24,SJS,D,4,0,3,3,-3,0,0.3,0,0,0,0,2,1,0,4,0.0,94,23:32,10,1,0,1,0.0,ferrama01
155,Kevin Fiala,26,LAK,LW,4,1,4,5,0,4,0.3,0,1,0,0,3,1,0,12,8.3,69,17:08,3,2,0,0,,fialake01
156,Christian Fischer,25,ARI,RW,3,1,1,2,1,2,0.2,1,0,0,0,1,0,0,5,20.0,46,15:20,4,7,0,1,0.0,fischch01
157,Haydn Fleury,26,TBL,D,3,0,1,1,1,0,0.2,0,0,0,0,1,0,0,3,0.0,36,11:54,0,2,0,0,,fleurha01
158,Warren Foegele,26,EDM,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,12,11:35,0,2,0,0,,foegewa01
159,Marcus Foligno,31,MIN,LW,3,1,1,2,-2,9,0.1,1,0,0,0,0,1,0,6,16.7,41,13:45,0,9,0,0,,foligma01
160,Nick Foligno,35,BOS,LW,3,1,1,2,-1,2,0.2,1,0,0,0,0,1,0,5,20.0,37,12:23,1,4,3,0,100.0,foligni01
161,Callan Foote,24,TBL,D,3,1,0,1,0,0,0.2,1,0,0,0,0,0,0,4,25.0,56,18:32,4,3,0,0,,footeca01
162,Derek Forbort,30,BOS,D,3,1,0,1,6,2,0.5,1,0,0,1,0,0,0,3,33.3,66,21:55,10,7,0,0,,forbode01
163,Filip Forsberg,28,NSH,C,4,1,1,2,-3,0,0.1,1,0,0,0,1,0,0,13,7.7,73,18:18,0,9,0,0,,forsbfi01
164,Gustav Forsling,26,FLA,D,3,1,2,3,3,2,0.6,1,0,0,0,2,0,0,10,10.0,76,25:29,4,5,0,0,,forslgu02
165,Gabriel Fortier,22,TBL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,8:25,0,1,0,0,,fortiga01
166,Cam Fowler,31,ANA,D,3,0,0,0,1,2,0.0,0,0,0,0,0,0,0,2,0.0,74,24:39,2,0,0,0,,fowleca01
167,Adam Fox,24,NYR,D,4,1,4,5,0,2,0.5,1,0,0,0,3,1,0,8,12.5,95,23:44,5,1,0,0,,foxad01
168,Trent Frederic,24,BOS,C,2,1,1,2,4,5,0.4,1,0,0,1,1,0,0,4,25.0,23,11:15,2,2,0,1,0.0,fredetr01
169,Morgan Frost,23,PHI,C,2,2,0,2,2,2,0.4,2,0,0,1,0,0,0,4,50.0,30,15:02,3,6,13,13,50.0,frostmo01
170,Jonah Gadjovich,24,SJS,LW,3,0,0,0,-2,9,-0.1,0,0,0,0,0,0,0,1,0.0,26,8:49,0,5,0,1,0.0,gadjojo01
